Identifiant;Nom du commerce;Numéro voie;Nom voie;Code postal;Nom commune;Longitude;Latitude;geo_shape;geo_point_2d
1185;LE HOLLYWOOD;19;RUE DE CLICHY;0;;2.330088;48.878009;"{""coordinates"": [2.3300880004089612, 48.878008998680215], ""type"": ""Point""}";48.878008998680215, 2.3300880004089612
1200;LES GOURMANDISES DE SAINT LAZARE;71;RUE SAINT-LAZARE;0;;2.332669;48.876721;"{""coordinates"": [2.332668999834527, 48.87672099907535], ""type"": ""Point""}";48.87672099907535, 2.332668999834527
1226;PASTA & CO;75;RUE TAITBOUT;0;;2.335315;48.87645;"{""coordinates"": [2.3353150000253082, 48.87644999910785], ""type"": ""Point""}";48.87644999910785, 2.3353150000253082
1229;HOTEL PARTICULIER MONTMARTRE;23;AVENUE JUNOT;0;;2.33546;48.888295;"{""coordinates"": [2.335459999887988, 48.8882949991914], ""type"": ""Point""}";48.8882949991914, 2.335459999887988
1230;LE GUILLEMET;8;RUE DE DOUAI;0;;2.335576;48.881494;"{""coordinates"": [2.3355760001191745, 48.881493998850594], ""type"": ""Point""}";48.881493998850594, 2.3355760001191745
1247;BOULANGERIE LES 3 B;92;RUE LAMARCK;0;;2.337091;48.890236;"{""coordinates"": [2.33709099954628, 48.89023599910966], ""type"": ""Point""}";48.89023599910966, 2.33709099954628
1298;AUX BONS P TITS PLATS;20;GALERIE MONTMARTRE;0;;2.341981;48.870587;"{""coordinates"": [2.3419810003742394, 48.87058699937541], ""type"": ""Point""}";48.87058699937541, 2.3419810003742394
1318;LA RECYCLERIE;60;RUE BELLIARD;0;;2.343799;48.897492;"{""coordinates"": [2.3437990006575737, 48.897491999492345], ""type"": ""Point""}";48.897491999492345, 2.3437990006575737
1792;PRAMACIE CENTRALE DES PYRENEES;127;RUE DES PYRENEES;0;;2.403957;48.85735;"{""coordinates"": [2.4039570006330337, 48.857349999279165], ""type"": ""Point""}";48.857349999279165, 2.4039570006330337
1795;PREMIERE OPTIQUE;5;RUE DU RENDEZ-VOUS;0;;2.404497;48.845121;"{""coordinates"": [2.4044969995628103, 48.84512099865566], ""type"": ""Point""}";48.84512099865566, 2.4044969995628103
1508;LULU LA NANTAISE;67;RUE DE LANCRY;0;;2.363516;48.872833;"{""coordinates"": [2.363516000430545, 48.872832999512624], ""type"": ""Point""}";48.872832999512624, 2.363516000430545
1549;CAFE CACHE;104;RUE D AUBERVILLIERS;0;;2.368527;48.890284;"{""coordinates"": [2.368526999692328, 48.89028399877878], ""type"": ""Point""}";48.89028399877878, 2.368526999692328
1558;HOTEL PARIS BASTILLE;67;RUE DE LYON;0;;2.369968;48.850933;"{""coordinates"": [2.3699679996392926, 48.850932999267705], ""type"": ""Point""}";48.850932999267705, 2.3699679996392926
1593;LE PARADIS DES VELOS;128;AVENUE PARMENTIER;0;;2.37248;48.868298;"{""coordinates"": [2.3724800006498294, 48.868297998794034], ""type"": ""Point""}";48.868297998794034, 2.3724800006498294
1617;NICOLAS;77;RUE OBERKAMPF;0;;2.374252;48.865044;"{""coordinates"": [2.37425200015073, 48.8650439993573], ""type"": ""Point""}";48.8650439993573, 2.37425200015073
1646;CAFE FUSAIN;50;AVENUE PARMENTIER;0;;2.377;48.862185;"{""coordinates"": [2.3769999994836475, 48.86218499869672], ""type"": ""Point""}";48.86218499869672, 2.3769999994836475
1661;LE QUATRE-VINGTS TREIZE;93;RUE JEAN-PIERRE TIMBAUD;0;;2.379271;48.868345;"{""coordinates"": [2.379271000121975, 48.86834499934511], ""type"": ""Point""}";48.86834499934511, 2.379271000121975
1705;A LIVR OUVERT;171;BOULEVARD VOLTAIRE;0;;2.385946;48.854521;"{""coordinates"": [2.3859460006332185, 48.85452099931553], ""type"": ""Point""}";48.85452099931553, 2.3859460006332185
1724;LA VINGTIEME CHAISE;38;RUE DES AMANDIERS;0;;2.389828;48.864891;"{""coordinates"": [2.3898279995493805, 48.86489099943418], ""type"": ""Point""}";48.86489099943418, 2.3898279995493805
1726;CONSCIENCE;371;RUE DES PYRENEES;0;;2.390079;48.873184;"{""coordinates"": [2.3900790005920083, 48.87318399916153], ""type"": ""Point""}";48.87318399916153, 2.3900790005920083
1741;EGLANTINE;21;RUE FABRE D EGLANTINE;0;;2.395485;48.847045;"{""coordinates"": [2.39548499984857, 48.84704499917081], ""type"": ""Point""}";48.84704499917081, 2.39548499984857
1748;ALEXIS 20;21;RUE DE BAGNOLET;0;;2.396063;48.856827;"{""coordinates"": [2.3960630000194434, 48.85682699949066], ""type"": ""Point""}";48.85682699949066, 2.3960630000194434
1890;TIERS TEMPS PARIS;0;RUE REMY DUMONCEL;0;;2.331463;48.829758;"{""coordinates"": [2.331463000094873, 48.82975799909601], ""type"": ""Point""}";48.82975799909601, 2.331463000094873
1901;UN INSTANT DE REVE;0;ROUTE DE LA CEINTURE DU LAC DAUMESNIL;0;;2.419077;48.829427;"{""coordinates"": [2.4190770006254128, 48.829426999456636], ""type"": ""Point""}";48.829426999456636, 2.4190770006254128
1823;CAFEZOIDE;0;QUAI DE LA LOIRE;0;;2.379262;48.887424;"{""coordinates"": [2.379262000639045, 48.887423999078], ""type"": ""Point""}";48.887423999078, 2.379262000639045
