identifiant;id_dicom;nom;type;payant;adresse;arrondissement;statut_ouverture;horaires_periode;horaires_lundi;horaires_mardi;horaires_mercredi;horaires_jeudi;horaires_vendredi;horaires_samedi;horaires_dimanche;geo_shape;geo_point_2d;proposition_usager
LC36;19457;Eglise Saint-Bernard de la Chapelle;Lieux de culte;Non;6b RUE SAINT-LUC;75018;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3550545998892063, 48.88605859760304], ""type"": ""Point""}";48.88605859760304, 2.3550545998892063;Non
LC128;;Chapelle Notre-Dame de la Compassion;Lieux de culte;Non;1  BD AURELLE DE PALADINES;75017;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2832170313284434, 48.881498817868554], ""type"": ""Point""}";48.881498817868554, 2.2832170313284434;Non
OMP109;;Kiosque à musique Square des Epinettes;Ombrière pérenne;Non;Square de Epinettes;75017;;Horaires d'ouverture du parc;;;;;;;;"{""coordinates"": [2.326551956446418, 48.894339216258444], ""type"": ""Point""}";48.894339216258444, 2.326551956446418;Non
BR93;;Brumisateur Place de la Concorde;Brumisateur;Non;place de la Concorde;75008;;Village Rugby;;;;;;;;"{""coordinates"": [2.322230921878252, 48.86565877393005], ""type"": ""Point""}";48.86565877393005, 2.322230921878252;Non
MU51;;Musée des Arts Forains;Musée;Oui;53 Avenue des Terroirs de France;75012;;;;;;;;;;"{""coordinates"": [2.3892970603998855, 48.83280311401055], ""type"": ""Point""}";48.83280311401055, 2.3892970603998855;Non
LC90;19439;Eglise Notre-Dame d'auteuil;Lieux de culte;Non;1  RUE COROT;75016;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2694881219967296, 48.847181816001665], ""type"": ""Point""}";48.847181816001665, 2.2694881219967296;Non
MU76;;Bourse de Commerce - Pinault Collection;Musée;Oui;2 rue de Viarmes;75001;Ouvert;;11h - 19h;Fermé;11h - 19h;11h - 19h;11h - 21h;11h - 21h;11h - 19h;"{""coordinates"": [2.3428250579408654, 48.86280156503871], ""type"": ""Point""}";48.86280156503871, 2.3428250579408654;Non
MU30;;Musée Jacquemart - André;Musée;Oui;158 boulevard Haussmann;75008;Ouvert;;10h - 18h;10h - 18h;10h - 18h;10h - 18h;10h - 18h;10h - 18h;10h - 18h;"{""coordinates"": [2.310448391855836, 48.87560342065058], ""type"": ""Point""}";48.87560342065058, 2.310448391855836;Non
MA18;(3255);MAIRIE DU 18E;Mairie d'arrondissement;Non;1 place JULES JOFFRIN;75018;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.344649939430918, 48.89228722901046], ""type"": ""Point""}";48.89228722901046, 2.344649939430918;Non
MA5;(3717);MAIRIE DU 5E;Mairie d'arrondissement;Non;21 PLACE DU PANTHEON;75005;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.3445753754736334, 48.84620455764898], ""type"": ""Point""}";48.84620455764898, 2.3445753754736334;Non
