identifiant;id_dicom;nom;type;payant;adresse;arrondissement;statut_ouverture;horaires_periode;horaires_lundi;horaires_mardi;horaires_mercredi;horaires_jeudi;horaires_vendredi;horaires_samedi;horaires_dimanche;geo_shape;geo_point_2d;proposition_usager
BI5;1723;Bibliothèque Parmentier;Bibliothèque;Non;20 bis avenue Parmentier;75011;;du 01/09/24 au 23/12/24;-;13h00 - 19h00;10h00 - 18h00;13h00 - 19h00;13h00 - 19h00;10h00 - 18h00;-;"{""coordinates"": [2.3791436551221827, 48.8602153899861], ""type"": ""Point""}";48.8602153899861, 2.3791436551221827;Non
BI14;1725;Bibliothèque Saint-Eloi;Bibliothèque;Non;23 RUE DU COLONEL ROZANOFF;75012;;à partir du 03/09/24;-;13h00 - 19h00;13h00 - 19h00;13h00 - 19h00;13h00 - 19h00;10h00 - 18h00;-;"{""coordinates"": [2.3870757432994028, 48.84553502660402], ""type"": ""Point""}";48.84553502660402, 2.3870757432994028;Non
LC34;3741;Eglise Saint-Jean de Montmartre;Lieux de culte;Non;19  RUE ABBESSES;75018;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3378819759284695, 48.884206259671224], ""type"": ""Point""}";48.884206259671224, 2.3378819759284695;Non
LC75;19468;Temple Protestant dit des Billettes;Lieux de culte;Non;22  RUE ARCHIVES;75004;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.355133164097468, 48.85798947538955], ""type"": ""Point""}";48.85798947538955, 2.355133164097468;Non
BR47;;Brumisateur Jardin Nicole Maestracci (ex Serpollet Davout);Brumisateur;Non;2 rue Serpollet;75020;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.409898400547233, 48.86081932225201], ""type"": ""Point""}";48.86081932225201, 2.409898400547233;Non
BR50;;Brumisateur Aire de jeux Alban Satragne;Brumisateur;Non;11 square Alban Satragne;75010;;Horaires d'ouverture de l'aire de jeux;;;;;;;;"{""coordinates"": [2.3551721071099565, 48.87556500223435], ""type"": ""Point""}";48.87556500223435, 2.3551721071099565;Non
LC47;19463;Eglise Saint-Pierre de Montrouge;Lieux de culte;Non;82  AV GENERAL LECLERC;75014;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3270601514238205, 48.82878326819983], ""type"": ""Point""}";48.82878326819983, 2.3270601514238205;Non
OMP37;;PREAU SQUARE CLARA ZETKIN;Ombrière pérenne;Non;21 AVENUE BOUTROUX;75013;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.375905340094387, 48.82151380748679], ""type"": ""Point""}";48.82151380748679, 2.375905340094387;Non
MU1;;Musée Rodin;Musée;Oui;77 rue de Varenne;75007;;;;;;;;;;"{""coordinates"": [2.3158563316741594, 48.85530934940396], ""type"": ""Point""}";48.85530934940396, 2.3158563316741594;Non
MU8;;Musée d'Orsay;Musée;Oui;1 Rue de la Légion d'Honneur;75007;;;;;;;;;;"{""coordinates"": [2.326352891658476, 48.85998234767895], ""type"": ""Point""}";48.85998234767895, 2.326352891658476;Non
LC8;;Eglise Reformée de l'annonciation;Lieux de culte;Non;19  RUE CORTAMBERT;75016;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2804535377329533, 48.86192092249408], ""type"": ""Point""}";48.86192092249408, 2.2804535377329533;Non
LC10;19451;Eglise Saint-Eustache;Lieux de culte;Non;140  RUE RAMBUTEAU;75001;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.345130292113797, 48.863393974212954], ""type"": ""Point""}";48.863393974212954, 2.345130292113797;Non
LC16;3738;Eglise Notre-Dame de la Croix de Menilmontant;Lieux de culte;Non;4  RUE EUPATORIA;75020;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.387293871841252, 48.86856337730721], ""type"": ""Point""}";48.86856337730721, 2.387293871841252;Non
LC19;19436;Chapelle de l'Eglise Reformée de Belleville;Lieux de culte;Non;97  RUE JULIEN LACROIX;75020;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3819195781452462, 48.872642187674735], ""type"": ""Point""}";48.872642187674735, 2.3819195781452462;Non
LC92;;Eglise de la Sorbonne;Lieux de culte;Oui;17 rue de la Sorbonne;75005;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.343206588138995, 48.848429735276774], ""type"": ""Point""}";48.848429735276774, 2.343206588138995;Non
MU14;;Musée d'Art et d'Histoire du judaïsme;Musée;Oui;71 Rue du Temple;75003;;;;;;;;;;"{""coordinates"": [2.3555090704528734, 48.86120951849589], ""type"": ""Point""}";48.86120951849589, 2.3555090704528734;Non
LC106;;Eglise Italienne Notre-Dame de la Consolation;Lieux de culte;Non;23  RUE JEAN GOUJON;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.306086762340554, 48.86548335383096], ""type"": ""Point""}";48.86548335383096, 2.306086762340554;Non
;2580;PERGOLA SQUARE GEORGES SARRE;Ombrière pérenne;Non;127 Rue Amelot;75011;;du 01/05/24 au 31/08/24;;;;;;;;"{""coordinates"": [2.3814694729823316, 48.864947173047085], ""type"": ""Point""}";48.864947173047085, 2.3814694729823316;Non
BR8;<Nul>;Brumisateur Charles Trénet;Brumisateur;Non;31 rue Brillat-Savarin;75013;Eteint;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.348090333412038, 48.82196473350942], ""type"": ""Point""}";48.82196473350942, 2.348090333412038;Non
BR11;<Nul>;Brumisateur Parc de Passy n°1;Brumisateur;Non;32 avenue du Président Kennedy;75016;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.283535073705941, 48.856137093511165], ""type"": ""Point""}";48.856137093511165, 2.283535073705941;Non
OMP53;;KIOSQUE A MUSIQUE SQUARE FRANCK BAUER;Ombrière pérenne;Non;1 PLACE DUPLEIX;75015;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.295785275821021, 48.85121021207738], ""type"": ""Point""}";48.85121021207738, 2.295785275821021;Non
DI03;19858;Quartier Jeune (QJ);Découverte et Initiation;Non;4 PLACE DU LOUVRE;75001;;;Fermé;09:30 - 18:00;09:30 - 18:00;09:30 - 19:30;09:30 - 18:00;11:00 - 18:00;Fermé;"{""coordinates"": [2.3412032052184855, 48.860057079655725], ""type"": ""Point""}";48.860057079655725, 2.3412032052184855;Non
BD5;18308;Bain-douche Charenton;Bains-douches;Non;188, rue de Charenton;75012;;du 01/01/20 au 01/02/25;-;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;08h00 - 12h30;"{""coordinates"": [2.3850582851393005, 48.84336457939091], ""type"": ""Point""}";48.84336457939091, 2.3850582851393005;Non
OMP56;;THEATRE PLEIN AIR SQUARE SAINT-LAMBERT;Ombrière pérenne;Non;2 RUE JEAN FORMIGE;75015;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.2961581432269647, 48.84251273632793], ""type"": ""Point""}";48.84251273632793, 2.2961581432269647;Non
MU48;1524;Musée de la Vie romantique, Hôtel Scheffer-Renan;Musée;Non;16 Rue Chaptal;75009;;du 01/01/20 au 01/01/32;-;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;"{""coordinates"": [2.333297865654588, 48.88093337684517], ""type"": ""Point""}";48.88093337684517, 2.333297865654588;Non
OMP12;;KIOSQUE A MUSIQUE SQUARE D'ANVERS-JEAN-CLAUDE CARRIERE;Ombrière pérenne;Non;3 PLACE D' ANVERS;75009;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3443643329572827, 48.88217421692886], ""type"": ""Point""}";48.88217421692886, 2.3443643329572827;Non
OMP19;;PERGOLA SQUARE LOUIS MAJORELLE;Ombrière pérenne;Non;28B RUE DE LA FORGE ROYALE;75011;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.381275286761322, 48.85211761919068], ""type"": ""Point""}";48.85211761919068, 2.381275286761322;Non
LC28;;Eglise Sainte-Marie Mediatrice;Lieux de culte;Non;48b BD SERURIER;75019;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.4027007971602043, 48.87921457718055], ""type"": ""Point""}";48.87921457718055, 2.4027007971602043;Non
TB7;;Terrain de boules de Saint-Maurice;Terrain de boules;;8 ROUTE SAINT LOUIS;75012;;;;;;;;;;"{""coordinates"": [2.4253736540635282, 48.82590904396969], ""type"": ""Point""}";48.82590904396969, 2.4253736540635282;Non
LC73;;Eglise Notre-Dame de l'assomption de Passy;Lieux de culte;Non;88  RUE ASSOMPTION;75016;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.266601903442688, 48.855764258201894], ""type"": ""Point""}";48.855764258201894, 2.266601903442688;Non
BR94;33;Brumisateur de la Tour Saint-Jacques;Brumisateur;Non;39 rue de Rivoli;75004;;Période Festival de la Place;;;;;;;;"{""coordinates"": [2.3488437612921467, 48.85779227479212], ""type"": ""Point""}";48.85779227479212, 2.3488437612921467;Non
LC100;;Cathedrale Saint-Vladimir Le Grand;Lieux de culte;Non;51  RUE SAINTS-PERES;75006;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.330968395289091, 48.85471003474433], ""type"": ""Point""}";48.85471003474433, 2.330968395289091;Non
LC46;;Eglise Saint-Hippolyte;Lieux de culte;Non;27  AV CHOISY;75013;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3627828096328822, 48.82132489967114], ""type"": ""Point""}";48.82132489967114, 2.3627828096328822;Non
;2560;Ombrière du Jardin James Joyce;Ombrière temporaire;Non;7 Rue George Balanchine;75013;;;;;;;;;;"{""coordinates"": [2.3734994958211995, 48.8359372062047], ""type"": ""Point""}";48.8359372062047, 2.3734994958211995;Non
BR39;;Brumisateur Parc Floral Pavillon 14;Brumisateur;Non;Parc Floral;75012;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.443352873733804, 48.837937791431514], ""type"": ""Point""}";48.837937791431514, 2.443352873733804;Non
OMP45;;KIOSQUE A MUSIQUE PARC MONTSOURIS;Ombrière pérenne;Non;28 BOULEVARD JOURDAN;75014;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3366238144489686, 48.82221198459702], ""type"": ""Point""}";48.82221198459702, 2.3366238144489686;Non
BR59;;Brumisateur Square Luc Hoffman;Brumisateur;Non;10 RUE DU MAROC;75019;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.3707258908919613, 48.886987490940385], ""type"": ""Point""}";48.886987490940385, 2.3707258908919613;Non
LC133;19452;Eglise Saint-Pierre de Montmartre;Lieux de culte;Non;2  RUE MONT CENIS;75018;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.342095305189352, 48.886646208690514], ""type"": ""Point""}";48.886646208690514, 2.342095305189352;Non
MU75;19189;Maison Européenne de la Photographie;Musée;Oui;5 RUE DE FOURCY;75004;;Les horaires étant dépendants de sa programmation, visitez son site internet pour en savoir plus;;;;;;;;"{""coordinates"": [2.3590444436535285, 48.85514613490426], ""type"": ""Point""}";48.85514613490426, 2.3590444436535285;Non
BR82;;Brumisateur Jardin d'Eole;Brumisateur;Non;18 rue du jardin d'Eole;75018;;Horaires d'ouverture du parc;;;;;;;;"{""coordinates"": [2.3669016268973517, 48.888651964578614], ""type"": ""Point""}";48.888651964578614, 2.3669016268973517;Non
OM13;;Ombrière Rosa Parks 2;Ombrière temporaire;Non;Parvis Rosa Parks;75019;;Accès libre;;;;;;;;"{""coordinates"": [2.3743616337307505, 48.89732936195485], ""type"": ""Point""}";48.89732936195485, 2.3743616337307505;Non
MU60;2892;Musée Zadkine;Musée;Non;100 bis Rue d'Assas;75006;;du 01/01/20 au 01/01/32;-;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;"{""coordinates"": [2.3339930888626332, 48.84299775406589], ""type"": ""Point""}";48.84299775406589, 2.3339930888626332;Non
PI36;2933;Piscine Armand Massard;Piscine;Oui;66 boulevard du Montparnasse;75015;;du 09/09/24 au 20/10/24;11h30 - 13h30;07h00 - 08h30 / 11h30 - 13h30;07h00 - 08h30 / 11h30 - 20h30;07h00 - 08h30 / 11h30 - 13h30;07h00 - 08h30 / 11h30 - 13h30;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.323362090119125, 48.84333328407727], ""type"": ""Point""}";48.84333328407727, 2.323362090119125;Non
PI35;2927;Piscine de la Butte aux Cailles;Piscine;Oui;5, place Paul Verlaine;75013;;du 09/09/24 au 15/09/24;-;07h00 - 08h30;07h00 - 08h30 / 11h30 - 18h00;07h00 - 18h00;07h00 - 18h00;10h30 - 20h30;08h00 - 18h00;"{""coordinates"": [2.352891855848139, 48.826913552754036], ""type"": ""Point""}";48.826913552754036, 2.352891855848139;Non
LC42;19491;Basilique Sainte-Clotilde;Lieux de culte;Non;23b RUE LAS CASES;75007;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.319534413493618, 48.85866730407005], ""type"": ""Point""}";48.85866730407005, 2.319534413493618;Non
MU45;;Arc de Triomphe;Musée;Oui;Place Charles de Gaulle;75008;;;;;;;;;;"{""coordinates"": [2.2951308282131317, 48.87374906324486], ""type"": ""Point""}";48.87374906324486, 2.2951308282131317;Non
MU53;;Musée du cinéma - Cinémathèque Française;Musée;Oui;51 rue de Bercy;75012;;;;;;;;;;"{""coordinates"": [2.382574943427704, 48.83700058716176], ""type"": ""Point""}";48.83700058716176, 2.382574943427704;Non
DI01;19860;Académie du Climat;Découverte et Initiation;Non;2 PLACE BAUDOYER;75004;;Du 28 juillet au 22 août;Fermé;13:00 - 18:00;13:00 - 18:00;13:00 - 18:00;13:00 - 18:00;10:00 - 17:00;Fermé;"{""coordinates"": [2.355874892803232, 48.856149167760854], ""type"": ""Point""}";48.856149167760854, 2.355874892803232;Non
TB10;;Terrain de boules Bassin de l'Arsenal;Terrain de boules;Non;53 boulevard de la Bastille;75012;;;;;;;;;;"{""coordinates"": [2.368341117395062, 48.85002586193196], ""type"": ""Point""}";48.85002586193196, 2.368341117395062;Non
;;Place de la Catalogne;Brumisateur;Non;Place de la Catalogne;75014;;;;;;;;;;"{""coordinates"": [2.3183172802095795, 48.8371748930317], ""type"": ""Point""}";48.8371748930317, 2.3183172802095795;Non
MU21;;Musée National des Arts Asiatiques Guimet;Musée;Oui;6 Place d'Iéna;75016;;;;;;;;;;"{""coordinates"": [2.2935809108378256, 48.86538395280017], ""type"": ""Point""}";48.86538395280017, 2.2935809108378256;Non
LC22;19499;Eglise Saint-Louis d'antin;Lieux de culte;Non;63  RUE CAUMARTIN;75009;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3277842616716695, 48.8745001755254], ""type"": ""Point""}";48.8745001755254, 2.3277842616716695;Non
MU46;;Hôtel Salé - Musée Picasso;Musée;Oui;5 rue de Thorigny;75003;;;;;;;;;;"{""coordinates"": [2.3621709381673335, 48.859881382718115], ""type"": ""Point""}";48.859881382718115, 2.3621709381673335;Non
LC45;;Eglise  Notre-Dame des Otages;Lieux de culte;Non;81  RUE HAXO;75020;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.4024961389273063, 48.87412420145871], ""type"": ""Point""}";48.87412420145871, 2.4024961389273063;Non
LC115;19497;Eglise Reformée du Saint-Esprit;Lieux de culte;Non;5  RUE ROQUEPINE;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3198874133461524, 48.87322876580121], ""type"": ""Point""}";48.87322876580121, 2.3198874133461524;Non
LC137;;Eglise Saint-Joseph des Epinettes;Lieux de culte;Non;40  RUE POUCHET;75017;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3205546582011634, 48.89358949462859], ""type"": ""Point""}";48.89358949462859, 2.3205546582011634;Non
LC66;19444;Eglise Saint-Severin;Lieux de culte;Non;24  RUE SAINT-JACQUES;75005;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.345721983350379, 48.85205452451868], ""type"": ""Point""}";48.85205452451868, 2.345721983350379;Non
OMP72;;KIOSQUE A MUSIQUE PROMENADE PEREIRE - PROMENADE GILBERTE BROSSOLETTE;Ombrière pérenne;Non;87B AVENUE DES TERNES;75017;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.295857377945523, 48.884229590871115], ""type"": ""Point""}";48.884229590871115, 2.295857377945523;Non
OMP79;;ABRI SQUARE SAINT-BERNARD - SAID BOUZIRI;Ombrière pérenne;Non;4 RUE SAINT BRUNO;75018;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3560940334061393, 48.88611564792512], ""type"": ""Point""}";48.88611564792512, 2.3560940334061393;Non
OMP81;;KIOSQUE A MUSIQUE SQUARE CARPEAUX;Ombrière pérenne;Non;23 RUE CARPEAUX;75018;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3315491536015114, 48.891689406192185], ""type"": ""Point""}";48.891689406192185, 2.3315491536015114;Non
OMP84;;ABRI SQUARE SUZANNE BUISSON;Ombrière pérenne;Non;7B RUE GIRARDON;75018;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3371883919063725, 48.88821564298377], ""type"": ""Point""}";48.88821564298377, 2.3371883919063725;Non
BR18;<Nul>;Brumisateur Jardin Curial;Brumisateur;Non;94 rue Curial;75019;Eteint;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.376769676599936, 48.89590240092798], ""type"": ""Point""}";48.89590240092798, 2.376769676599936;Non
BD2;18322;Bain-douche Bidassoa;Bains-douches;Non;27, rue de la Bidassoa;75020;;du 01/01/20 au 01/01/32;-;-;-;-;-;-;-;"{""coordinates"": [2.392974504655794, 48.86659141607326], ""type"": ""Point""}";48.86659141607326, 2.392974504655794;Non
BD16;18291;Bain-douche Saint-Merri;Bains-douches;Non;18, rue du Renard;75004;;du 01/01/20 au 01/01/32;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;-;07h30 - 13h00;07h30 - 13h00;08h00 - 12h30;"{""coordinates"": [2.352537378460537, 48.85919951391074], ""type"": ""Point""}";48.85919951391074, 2.352537378460537;Non
PI5;2948;Piscine Georges Hermant;Piscine;Oui;8-10, rue David d Angers;75019;;du 09/09/24 au 20/10/24;07h00 - 08h30 / 12h00 - 14h00 / 17h00 - 20h00;07h00 - 08h30 / 12h00 - 14h00 / 17h00 - 21h00;08h30 - 21h00;07h00 - 08h30 / 12h00 - 14h00 / 17h00 - 20h00;07h00 - 08h30 / 12h00 - 14h00 / 20h00 - 23h59;08h30 - 19h00;08h30 - 19h00;"{""coordinates"": [2.3894793921026167, 48.88236232068229], ""type"": ""Point""}";48.88236232068229, 2.3894793921026167;Non
PI30;2930;Piscine Joséphine-Baker;Piscine;Oui;quai François Mauriac;75013;;du 09/09/24 au 15/09/24;07h00 - 08h15 / 10h30 - 22h00;07h00 - 11h45 / 17h00 - 20h00;07h00 - 08h15 / 13h00 - 20h00;07h00 - 17h00 / 20h00 - 22h00;07h00 - 11h45 / 13h30 - 22h00;11h00 - 19h00;11h00 - 19h00;"{""coordinates"": [2.3761657385420416, 48.836065210854954], ""type"": ""Point""}";48.836065210854954, 2.3761657385420416;Non
BD12;18306;Bain-douche Oberkampf;Bains-douches;Non;42, rue Oberkampf;75011;;du 01/01/20 au 01/01/32;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;-;07h30 - 13h00;07h30 - 13h00;08h00 - 12h30;"{""coordinates"": [2.3721224105285725, 48.86450803730509], ""type"": ""Point""}";48.86450803730509, 2.3721224105285725;Non
OMP26;;PERGOLA JARDIN DU PORT DE L'ARSENAL;Ombrière pérenne;Non;11 BOULEVARD DE LA BASTILLE;75012;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3681761365791796, 48.85022131640432], ""type"": ""Point""}";48.85022131640432, 2.3681761365791796;Non
LC72;;Eglise Notre-Dame d'esperance;Lieux de culte;Non;47  RUE ROQUETTE;75011;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.374589767430819, 48.8559678307595], ""type"": ""Point""}";48.8559678307595, 2.374589767430819;Non
LC77;;Eglise Saint-Germain l'Auxerrois;Lieux de culte;Non;13  RUE ARBRE SEC;75001;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.341292155437328, 48.85952402834885], ""type"": ""Point""}";48.85952402834885, 2.341292155437328;Non
BR90;17517;Brumisateur Square Eugène Varlin;Brumisateur;Non;151 quai de Valmy;75010;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3659806835138393, 48.87816733854025], ""type"": ""Point""}";48.87816733854025, 2.3659806835138393;Non
MA3;(3716);MAIRIE PARIS CENTRE;Mairie d'arrondissement;Non;2 RUE EUGENE SPULLER;75003;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.3615818789883916, 48.86395978129244], ""type"": ""Point""}";48.86395978129244, 2.3615818789883916;Non
MU36;;Musée National Henner;Musée;Oui;43 avenue de Villiers;75017;;;;;;;;;;"{""coordinates"": [2.3076337828692397, 48.882935711479966], ""type"": ""Point""}";48.882935711479966, 2.3076337828692397;Non
MU3;;Hôtel des Invalides;Musée;Oui;129 rue de Grenelle;75007;;;;;;;;;;"{""coordinates"": [2.311081017530418, 48.856000299318275], ""type"": ""Point""}";48.856000299318275, 2.311081017530418;Non
LC17;19475;Eglise Saint-Honore d'Eylau;Lieux de culte;Non;9  PL VICTOR HUGO;75016;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2847044913290975, 48.86913082658548], ""type"": ""Point""}";48.86913082658548, 2.2847044913290975;Non
LC57;3742;Eglise Saint-Christophe;Lieux de culte;Non;2  RUE SAINT-CHRISTOPHE;75015;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.279313877956372, 48.844697638982176], ""type"": ""Point""}";48.844697638982176, 2.279313877956372;Non
LC63;3749;Eglise Saint-Sulpice;Lieux de culte;Non;PL SAINT SULPICE;75006;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3348445944450424, 48.850994692610875], ""type"": ""Point""}";48.850994692610875, 2.3348445944450424;Non
LC71;;Eglise Saint-Louis des Invalides;Lieux de culte;Non;2  AV TOURVILLE;75007;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3125601181331064, 48.85521864350549], ""type"": ""Point""}";48.85521864350549, 2.3125601181331064;Non
LC15;19470;Eglise Notre-Dame de l'Assomption;Lieux de culte;Non;263b RUE SAINT-HONORE;75001;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.325516992848873, 48.86741790536706], ""type"": ""Point""}";48.86741790536706, 2.325516992848873;Non
LC113;19441;Eglise de la Madeleine;Lieux de culte;Non;1  PL MADELEINE;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.324461393662043, 48.87002683151711], ""type"": ""Point""}";48.87002683151711, 2.324461393662043;Non
BR52;;Brumisateur Jardin Villemin;Brumisateur;Non;14 RUE DES RECOLLETS;75010;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.361144942563469, 48.875345355360295], ""type"": ""Point""}";48.875345355360295, 2.361144942563469;Non
LC146;19508;Eglise Saint-Eloi;Lieux de culte;;7 PL MAURICE DE FONTENAY;75012;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3888801306795155, 48.84471243296363], ""type"": ""Point""}";48.84471243296363, 2.3888801306795155;Non
LC147;19505;Eglise Saint-Marcel;Lieux de culte;;82 BD DE L'HOPITAL;75013;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.35932880160514, 48.83741388331026], ""type"": ""Point""}";48.83741388331026, 2.35932880160514;Non
MA14;(3863);MAIRIE DU 14E;Mairie d'arrondissement;Non;2 place FERDINAND BRUNOT;75014;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.326539798879962, 48.83308155179504], ""type"": ""Point""}";48.83308155179504, 2.326539798879962;Non
OMP62;;PERGOLA PARC ANDRE CITROEN;Ombrière pérenne;Non;2 RUE DE LA MONTAGNE DE LA FAGE;75015;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.2753800450948183, 48.8413084075955], ""type"": ""Point""}";48.8413084075955, 2.2753800450948183;Non
PI4;17349;Piscine Jacqueline Auriol;Piscine;Oui;7 Allée Louis de Funès;75008;;du 09/09/24 au 15/09/24;07h00 - 16h00;11h30 - 13h30 / 17h15 - 20h15;11h30 - 18h00;11h30 - 13h30 / 17h15 - 22h00;11h30 - 13h30;08h30 - 18h00;08h00 - 18h00;"{""coordinates"": [2.3058946173855066, 48.87630718788207], ""type"": ""Point""}";48.87630718788207, 2.3058946173855066;Non
PI29;2926;Piscine Jean Boiteux ex Reuilly;Piscine;Oui;13, rue Hénard;75012;;du 09/09/24 au 20/10/24;11h30 - 13h30;07h00 - 08h30 / 11h30 - 13h30;07h00 - 08h30 / 11h30 - 18h00;07h00 - 08h30 / 11h30 - 13h30 / 16h45 - 22h00;07h00 - 08h30 / 11h30 - 13h30;10h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.389397786339199, 48.84214720818325], ""type"": ""Point""}";48.84214720818325, 2.389397786339199;Non
BD6;18290;Bain-douche des Deux-Ponts;Bains-douches;Non;8, rue des Deux-Ponts;75004;;à partir du 01/01/20;-;12h00 - 18h00;12h00 - 18h00;12h00 - 18h00;12h00 - 18h00;12h00 - 18h00;-;"{""coordinates"": [2.356342832789796, 48.85147802050789], ""type"": ""Point""}";48.85147802050789, 2.356342832789796;Non
MU2;1516;Maison de Balzac;Musée;;47 rue Raynouard;75016;;du 01/01/20 au 02/01/63;-;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;"{""coordinates"": [2.2810497106811494, 48.855247015021654], ""type"": ""Point""}";48.855247015021654, 2.2810497106811494;Non
